Day Ahead,MAE (Full),MAPE (Full),RMSE (Full),Max Error (Full),NSE (Full),MAE (Peaks),MAPE (Peaks),RMSE (Peaks),Max Error (Peaks),NSE (Peaks)
1 Day(s),23.042426231929234,0.22946051987451166,41.4429272286441,340.9540710449219,0.7746130563990716,47.312994094122026,0.19269745656745732,75.73587586865419,340.9540710449219,0.5351854366071769
2 Day(s),24.251290825435092,0.2352307251798758,48.451767490194435,484.9690246582031,0.6918518719440865,51.63362899053664,0.20418174321851953,90.5359220150386,484.9690246582031,0.3357703164759748
3 Day(s),27.01476894106184,0.24981485048681867,55.61068556299468,506.4590148925781,0.593825474362685,59.70456891741071,0.23226705506862405,104.3415701593208,506.4590148925781,0.11775103454123415
4 Day(s),27.620440946306502,0.25585254041201,54.76988915925205,486.66363525390625,0.6057878755351042,62.997820209321524,0.2510200187493667,102.75392838291731,486.66363525390625,0.14439504524433966
5 Day(s),30.12435586111886,0.26994990576434597,60.97727023573021,544.6453247070312,0.5110351339545927,71.49040047781808,0.28961709708497096,115.64059485814943,544.6453247070312,-0.08367001383188111
