Day Ahead,MAE (Full),MAPE (Full),RMSE (Full),Max Error (Full),NSE (Full),MAE (Peaks),MAPE (Peaks),RMSE (Peaks),Max Error (Peaks),NSE (Peaks)
1 Day(s),10.002633661771188,0.16676447285670926,23.49452477233148,257.8137969970703,0.8735363375356691,23.103790811906787,0.14699059998729594,44.095911531567694,257.8137969970703,0.7279458179595362
2 Day(s),11.408285260400499,0.1820090058064461,27.521773066128713,357.6468963623047,0.8263400632939844,26.963970037092242,0.17378204437459815,50.90025866681428,357.6468963623047,0.6375077416797386
3 Day(s),13.485994873131087,0.2013429338969454,32.592309037018744,289.2975311279297,0.7562826859262604,32.42822768228096,0.1939201248459328,58.39454090763338,289.2975311279297,0.5229067699600333
4 Day(s),15.462246822668751,0.2197243353387007,38.44121063194426,400.4885025024414,0.6607221584115981,38.80661745238722,0.22999052288051958,70.91822999449005,400.4885025024414,0.2963210936826437
5 Day(s),17.45924329677691,0.23268533542588632,43.28485644954582,367.6716079711914,0.569543502430616,44.54560090449819,0.251879205218339,78.17781169289574,367.6716079711914,0.1448825348921582
