0,1,2,3,4,5,6
,,,,,,
2019-01-01,-9.513031005859377,-11.107757568359377,-14.186859130859377,-11.587249755859377,-10.677093505859377,-15.606781005859377
2019-01-02,-7.632659912109375,-7.540863037109375,-10.428558349609377,-8.407073974609375,-6.523284912109375,-11.214691162109377
2019-01-03,-6.6116943359375,-7.9573974609375,-9.0179443359375,-7.5032958984375,-5.8079833984375,-10.2073974609375
2019-01-04,-10.112884521484377,-12.014251708984377,-15.487884521484377,-11.717376708984377,-11.332611083984377,-15.238861083984377
2019-01-05,-5.90557861328125,-4.66241455078125,-7.24346923828125,-6.49639892578125,-3.92706298828125,-7.84503173828125
2019-01-06,-3.936065673828125,-6.088409423828125,-6.186065673828125,-5.682159423828125,-3.794464111328125,-7.588409423828125
2019-01-07,-8.516510009765625,-7.231353759765625,-11.270416259765623,-9.227447509765623,-11.678619384765623,-11.559478759765623
2019-01-08,-9.207122802734377,-9.552825927734377,-13.786224365234377,-12.910247802734377,-10.330169677734377,-11.317474365234377
2019-01-09,-6.402130126953125,-6.015411376953125,-10.524200439453123,-8.617950439453125,-9.986114501953123,-13.006622314453123
2019-01-10,-8.51239013671875,-4.41375732421875,-9.17938232421875,-13.17547607421875,-10.72235107421875,-9.61102294921875
2019-01-11,-10.61920166015625,-7.13287353515625,-12.25494384765625,-10.00201416015625,-7.99127197265625,-10.11236572265625
2019-01-12,-8.113861083984375,-7.910736083984375,-9.782806396484377,-9.037689208984377,-12.258392333984377,-10.266204833984377
2019-01-13,-9.751251220703123,-6.564727783203125,-8.294219970703125,-9.702423095703123,-6.380157470703125,-8.163360595703125
2019-01-14,-8.917327880859375,-2.114593505859375,-4.222991943359375,-9.886077880859377,0.181304931640625,-3.925140380859375
2019-01-15,-2.347442626953125,-1.042755126953125,-0.932403564453125,-1.890411376953125,1.300994873046875,-1.136505126953125
2019-01-16,0.884063720703125,-0.369842529296875,-0.082733154296875,-2.374725341796875,1.911407470703125,-0.921600341796875
2019-01-17,-6.197540283203125,-2.903594970703125,-6.527618408203125,-11.706329345703123,-2.608673095703125,-5.782501220703125
2019-01-18,-2.092132568359375,-1.971038818359375,-1.935882568359375,-1.928070068359375,0.684234619140625,-2.763031005859375
2019-01-19,-2.37939453125,-2.07861328125,-1.28076171875,-1.21240234375,1.74560546875,-2.56005859375
2019-01-20,-7.203887939453125,-2.857208251953125,-2.445098876953125,-5.163848876953125,-0.164825439453125,-2.474395751953125
2019-01-21,-3.32958984375,-4.01025390625,-4.64892578125,-2.92138671875,-1.54248046875,-4.17626953125
2019-01-22,-7.481964111328125,-8.112823486328125,-8.332550048828125,-7.454620361328125,-3.743682861328125,-7.531768798828125
2019-01-23,-18.112213134765625,-11.130767822265623,-14.754791259765623,-14.685455322265623,-9.203033447265623,-10.202056884765623
2019-01-24,-4.225189208984375,-0.069915771484375,-1.004486083984375,-4.936126708984375,0.612701416015625,-1.858001708984375
2019-01-25,-1.409515380859375,0.494781494140625,-1.413421630859375,-0.108734130859375,0.559234619140625,-2.381195068359375
2019-01-26,-7.32501220703125,-2.31329345703125,-4.94024658203125,-4.30450439453125,-3.86016845703125,-4.27716064453125
2019-01-27,-5.424957275390625,-3.122222900390625,-4.882965087890625,-4.714996337890625,-1.347808837890625,-4.140777587890625
2019-01-28,-10.761871337890623,-5.599761962890625,-6.468902587890625,-10.421051025390623,-2.514801025390625,-4.901519775390625
2019-01-29,2.491973876953125,3.854278564453125,1.985137939453125,1.003692626953125,4.286895751953125,1.460723876953125
2019-01-30,2.917449951171875,2.704559326171875,4.405731201171875,0.567840576171875,8.049285888671875,2.412567138671875
2019-01-31,1.481414794921875,0.909149169921875,1.235321044921875,-1.272491455078125,3.706024169921875,1.874969482421875
2019-03-01,-2.203765869140625,0.565765380859375,-2.292633056640625,-1.364898681640625,-0.483062744140625,-1.929351806640625
2019-03-02,-1.432647705078125,-1.216827392578125,-0.542022705078125,-1.559600830078125,3.873992919921875,0.408172607421875
2019-03-03,-1.480194091796875,0.918243408203125,-1.506561279296875,-2.531951904296875,-1.191131591796875,-3.119842529296875
2019-03-04,3.991912841796875,5.263397216796875,2.349334716796875,0.983123779296875,4.324920654296875,1.451873779296875
2019-03-05,1.947967529296875,4.375701904296875,0.616912841796875,1.316131591796875,4.319061279296875,-0.168243408203125
2019-03-06,-1.80047607421875,-0.30633544921875,-1.27313232421875,-0.74676513671875,5.03057861328125,0.57257080078125
2019-03-07,0.477935791015625,1.194732666015625,0.716217041015625,0.400787353515625,4.488677978515625,-0.466400146484375
2019-03-08,-1.15380859375,-2.03564453125,-2.86083984375,-2.04736328125,0.86376953125,-2.98876953125
2019-03-09,-4.553558349609375,-4.391448974609375,-7.681488037109375,-7.404144287109375,-2.676605224609375,-6.054534912109375
2019-03-10,-7.445709228515625,-3.652740478515625,-5.850982666015625,-9.611724853515623,0.957611083984375,-5.364654541015625
2019-03-11,-2.045745849609375,-2.691253662109375,-4.023284912109375,-2.741058349609375,-1.163909912109375,-5.169769287109375
2019-03-12,-6.011138916015625,-3.052154541015625,-6.229888916015625,-4.786529541015625,-3.781646728515625,-4.619537353515625
2019-03-13,-1.6021728515625,-0.2525634765625,-0.2984619140625,-0.6959228515625,1.6614990234375,-0.1011962890625
2019-03-14,-0.516510009765625,3.438568115234375,0.474700927734375,-1.160064697265625,4.998138427734375,-0.222564697265625
2019-03-15,-0.315032958984375,1.395904541015625,1.257232666015625,-0.443939208984375,4.364654541015625,-1.161712646484375
2019-03-16,2.874664306640625,1.530914306640625,-2.112640380859375,2.399078369140625,0.600250244140625,4.040679931640625
2019-03-17,0.61761474609375,-0.20074462890625,-2.00738525390625,-0.62359619140625,1.20355224609375,-2.69000244140625
2019-03-18,0.151611328125,1.455322265625,-3.760498046875,-2.153076171875,0.767822265625,-4.132568359375
2019-03-19,-0.036468505859375,-0.379241943359375,-1.928070068359375,0.443023681640625,1.750640869140625,-1.194671630859375
2019-03-20,1.104461669921875,2.274383544921875,1.197235107421875,0.339813232421875,1.140594482421875,2.228485107421875
2019-03-21,-1.2139892578125,-0.8087158203125,-1.4591064453125,-0.3243408203125,-0.0118408203125,-1.6339111328125
2019-03-22,2.362335205078125,2.739288330078125,-1.895477294921875,-0.080047607421875,1.797882080078125,-2.449188232421875
2019-03-23,-0.389739990234375,-0.894622802734375,-2.344818115234375,-0.548919677734375,2.266510009765625,-2.910247802734375
2019-03-24,-3.27862548828125,-8.36846923828125,-8.54425048828125,-4.26885986328125,-1.11260986328125,-6.59307861328125
2019-03-25,-0.9024658203125,-1.2227783203125,-4.2393798828125,-3.6661376953125,-0.9952392578125,-5.9815673828125
2019-03-26,-0.065521240234375,0.313385009765625,-1.501068115234375,-0.771575927734375,-0.619232177734375,-4.116302490234375
2019-03-27,-0.294281005859375,2.757476806640625,-1.621429443359375,-0.534515380859375,0.573883056640625,-2.851898193359375
2019-03-28,1.625335693359375,3.982757568359375,-0.939117431640625,0.212249755859375,0.251312255859375,-2.186187744140625
2019-03-29,0.7548828125,1.244140625,1.390625,2.35546875,3.2314453125,0.359375
2019-03-30,2.840057373046875,3.666229248046875,1.432830810546875,2.672088623046875,4.904510498046875,0.261932373046875
2019-03-31,2.881439208984375,4.352142333984375,0.746673583984375,1.438079833984375,2.830657958984375,-0.783599853515625
2019-04-01,4.697906494140625,4.718414306640625,2.083648681640625,1.533843994140625,5.576812744140625,1.094390869140625
2019-04-02,1.976409912109375,3.157073974609375,-1.809722900390625,-0.366363525390625,1.600433349609375,1.676605224609375
2019-04-03,6.372161865234375,5.632904052734375,2.676849365234375,3.827239990234375,4.410247802734375,1.532318115234375
2019-04-04,6.560333251953125,5.724395751953125,3.864044189453125,4.499786376953125,5.190216064453125,1.159942626953125
2019-04-05,6.6146240234375,6.0355224609375,3.7923583984375,5.5501708984375,3.9398193359375,1.9622802734375
2019-04-06,6.410369873046875,5.974822998046875,2.486541748046875,5.962127685546875,4.775604248046875,1.684783935546875
2019-04-07,4.2249755859375,5.2464599609375,2.7113037109375,4.1234130859375,5.4642333984375,1.8909912109375
2019-04-08,2.269500732421875,3.218719482421875,-1.308624267578125,-0.287139892578125,2.589813232421875,-1.693389892578125
2019-04-09,3.71075439453125,2.26934814453125,2.03692626953125,3.62774658203125,1.49102783203125,0.28887939453125
2019-04-10,0.923492431640625,0.341461181640625,0.559234619140625,0.898101806640625,3.284820556640625,-0.102874755859375
2019-04-11,3.644989013671875,3.601043701171875,1.996551513671875,3.940887451171875,4.090301513671875,0.998504638671875
2019-04-12,4.53985595703125,2.09552001953125,1.65997314453125,3.59552001953125,2.20391845703125,-0.52166748046875
2019-04-13,0.906829833984375,2.162689208984375,-1.433013916015625,-0.700592041015625,-0.135162353515625,-2.880279541015625
2019-04-14,4.712158203125,2.549072265625,1.458251953125,3.382080078125,2.136962890625,-0.976318359375
2019-04-15,1.69610595703125,1.41290283203125,-1.06365966796875,0.27423095703125,1.76739501953125,-2.43865966796875
2019-04-16,3.265655517578125,4.805694580078125,0.939483642578125,0.966827392578125,1.559600830078125,-1.328094482421875
2019-04-17,0.671112060546875,2.747283935546875,-0.033966064453125,-0.120880126953125,1.783416748046875,-0.397247314453125
2019-04-18,0.754791259765625,0.867095947265625,-0.384857177734375,0.705963134765625,3.888580322265625,-0.891693115234375
2019-04-19,4.6964111328125,5.3575439453125,3.0762939453125,2.6212158203125,7.6329345703125,3.4102783203125
2019-04-20,9.597442626953123,7.912872314453125,5.486114501953125,7.245880126953125,7.598419189453125,4.049591064453125
