0,1,2,3,4,5,6
,,,,,,
2019-01-01,2.0234375,3.47265625,1.5068359375,1.8720703125,0.0,0.3037109375
2019-01-02,1.1259765625,1.701171875,0.748046875,0.7314453125,0.03125,0.134765625
2019-01-03,4.3662109375,6.66796875,3.080078125,3.91796875,1.265625,2.1962890625
2019-01-04,1.5986328125,2.591796875,1.3603515625,1.4443359375,0.064453125,0.404296875
2019-01-05,0.984375,0.833984375,1.2490234375,0.6005859375,2.55078125,1.232421875
2019-01-06,16.9208984375,21.4697265625,22.8291015625,17.37109375,32.6474609375,32.9580078125
2019-01-07,3.759765625,5.744140625,3.8974609375,2.9599609375,0.390625,3.986328125
2019-01-08,0.4658203125,0.4951171875,0.40234375,0.1943359375,0.0,0.228515625
2019-01-09,0.1455078125,0.21875,0.1083984375,0.0966796875,0.0,0.0537109375
2019-01-10,0.0,0.0625,0.05078125,0.0,0.0,0.052734375
2019-01-11,4.744140625,6.7021484375,6.4189453125,3.931640625,7.2509765625,4.8671875
2019-01-12,1.5830078125,2.9130859375,0.833984375,1.3388671875,0.02734375,0.4755859375
2019-01-13,0.0,0.0,0.0244140625,0.0,0.0,0.1044921875
2019-01-14,0.0,0.0,0.052734375,0.0,0.078125,0.265625
2019-01-15,0.0,0.0,5.0966796875,0.5078125,0.0,18.5810546875
2019-01-16,0.0,0.123046875,4.166015625,0.1708984375,0.0,10.302734375
2019-01-17,0.126953125,1.6640625,5.6103515625,0.4931640625,2.669921875,8.5146484375
2019-01-18,0.796875,0.3974609375,1.689453125,0.0,0.0,1.419921875
2019-01-19,5.4453125,5.6015625,12.3525390625,3.7421875,0.0,12.7197265625
2019-01-20,0.0,0.3759765625,2.8623046875,0.0,0.0,7.9130859375
2019-01-21,2.265625,4.4375,0.5146484375,2.7734375,0.0,2.03515625
2019-01-22,17.7021484375,21.1748046875,11.76953125,15.6259765625,8.4892578125,11.416015625
2019-01-23,3.3935546875,3.7841796875,0.9560546875,1.41015625,0.0,0.052734375
2019-01-24,0.396484375,0.654296875,0.228515625,0.0078125,0.58984375,0.345703125
2019-01-25,0.0,0.0,17.4130859375,4.69140625,10.71875,41.24609375
2019-01-26,2.361328125,3.3994140625,2.1513671875,0.3564453125,0.283203125,3.59765625
2019-01-27,0.0,0.0,0.9609375,0.0,3.798828125,1.5986328125
2019-01-28,0.21484375,0.3779296875,1.05078125,1.125,2.5263671875,4.2509765625
2019-01-29,0.0,0.0,1.61328125,0.0,0.0,2.5869140625
2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-08,8.33984375,1.84375,2.0537109375,9.40625,2.7958984375,1.1904296875
2019-03-09,4.3173828125,7.7314453125,7.474609375,8.5576171875,8.365234375,11.140625
2019-03-10,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-11,4.599609375,6.666015625,5.951171875,1.8681640625,5.572265625,9.517578125
2019-03-12,0.0,0.537109375,0.119140625,0.0,0.0,0.041015625
2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-16,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-17,0.1298828125,1.2109375,0.998046875,0.9541015625,0.0,0.0
2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0
