Day Ahead,MAE (Full),MAPE (Full),RMSE (Full),Max Error (Full),NSE (Full),MAE (Peaks),MAPE (Peaks),RMSE (Peaks),Max Error (Peaks),NSE (Peaks)
1 Day(s),23.103913802192324,0.25901071035359924,40.27885599777435,280.70703125,0.7870968131739148,46.63930315290179,0.1856783527711056,72.12677447478562,280.70703125,0.5784302464542457
2 Day(s),25.14371386936733,0.2685083913547681,45.25590412918378,411.8182373046875,0.7311619254234148,52.605443754650295,0.21019665255208034,82.50178849614346,411.8182373046875,0.44842680944029
3 Day(s),27.382554780869256,0.27618240709954694,54.01241730942937,415.0741271972656,0.6168371343050467,61.106390744163875,0.23885231674617788,100.54018159781808,415.0741271972656,0.18086449087562007
4 Day(s),29.58235215232486,0.29117216165649634,58.221830615617485,546.3209533691406,0.5545305084988819,68.29404612949916,0.2715777037282338,109.40237364591492,546.3209533691406,0.03009340660115256
5 Day(s),30.773889727819533,0.30258250523630986,60.40760299430135,462.6601257324219,0.52012855945176,73.63714149111793,0.2990272502576339,114.13026845549366,462.6601257324219,-0.055548273569026696
