Day Ahead,MAE (Full),MAPE (Full),RMSE (Full),Max Error (Full),NSE (Full),MAE (Peaks),MAPE (Peaks),RMSE (Peaks),Max Error (Peaks),NSE (Peaks)
1 Day(s),18.158569889976864,0.20222433843532608,33.78821444907653,265.00518798828125,0.8501839330213479,36.5505366007487,0.14845602217667112,60.93680712947192,265.00518798828125,0.6990905602027879
2 Day(s),22.252301370529903,0.23343636939298937,43.00532588968603,381.2674255371094,0.7572357281795631,47.350946044921876,0.18920704288600393,79.40361704654885,381.2674255371094,0.4890751872440352
3 Day(s),26.0850541023981,0.2670678826142511,51.75940993250921,422.07000732421875,0.648136014847918,56.51812802269345,0.22397486776994374,95.22701126967097,422.07000732421875,0.2651533303325315
4 Day(s),28.81671912783668,0.2863063943159067,56.848503745297826,522.1058959960938,0.5752979763034609,63.68485579717727,0.25033129052162617,104.99708029172474,522.1058959960938,0.10663102265930047
5 Day(s),30.4061019942874,0.292506930171869,60.88334928092011,569.3682250976562,0.5125402416573293,68.55743277413505,0.2688319189041038,113.053043276658,569.3682250976562,-0.03571660096189633
