Day Ahead,MAE (Full),MAPE (Full),RMSE (Full),Max Error (Full),NSE (Full),MAE (Peaks),MAPE (Peaks),RMSE (Peaks),Max Error (Peaks),NSE (Peaks)
1 Day(s),22.039072581699916,0.2407843383470521,40.33591321896733,273.9262390136719,0.7864932077417099,44.66577395484561,0.17993398477762962,72.48301856494223,273.9262390136719,0.5742555798748491
2 Day(s),25.214589282444546,0.2644320199020104,46.52708867037245,357.6306457519531,0.7158471334337793,52.16398620605469,0.20731753997342012,84.96268897940278,357.6306457519531,0.4150309078669281
3 Day(s),27.252928656623478,0.27284301518942705,54.32599875175973,513.2125854492188,0.6123751399248205,59.719815245128814,0.22791468207598753,101.6037453641576,513.2125854492188,0.16344238479608375
4 Day(s),28.607298628489175,0.2848056423035149,56.78146769488395,561.3419799804688,0.5762990074021472,62.804119437081475,0.24043181783559434,106.42132437490571,561.3419799804688,0.08223024669672974
5 Day(s),29.366096968877883,0.2950639174973789,60.51049276726972,598.8497009277344,0.518492476927279,65.16317887079148,0.2497388571232003,113.735226468496,598.8497009277344,-0.048253727939848945
